D-q401_soilTexture,D-q402_drainClass,D-q403_soilPerception,D-q409_varType,D-q421_seedSource,E-q5105_statSHC,E-q5101_FYM,E-q5104_applyMineralFert,G-q5301_irrigAvail,G-q5305_irrigTimes,I-q5502_droughtSeverity,I-q5505_weedSeverity,I-q5506_insectSeverity,I-q5507_insecticides,I-q5509_diseaseSeverity,I-q5510_pesticides,I-q5512_lodgingPercent,J-herbAppTimes,J-manualWeedTimes,L-cropDurationDays,L-q602_harvestMethod,L-q604_threshing,L-tonPerHectare,D-q410_varName,q415_seedingSowingTransDate,F-q5287_fertOnTime,A-q102_state
2,3,2,2,4,0,0,1,1,2,2,1,1,0,0,0,0,1,0,117,1,2,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,3,2,2,2,0,1,0,0,1,0,122,3,0,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,2,0,0,0,0,0,0,120,1,1,2.67,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,1,1,0,1,0,0,1,0,121,1,1,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,1,1,1,0,1,0,10,1,0,124,3,0,3.2,0,2,2,1
2,3,2,2,4,0,0,1,1,2,1,2,2,0,2,0,0,1,0,119,3,0,3.2,3,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,2,0,2,0,0,0,0,126,1,1,2.2,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,1,0,1,0,5,1,0,120,3,0,3.73,0,2,2,1
2,3,2,2,4,0,0,1,1,1,0,3,0,0,0,0,0,0,1,111,1,1,1.6,3,3,2,1
2,3,2,2,4,0,0,1,1,3,2,2,2,0,1,0,0,1,0,123,3,0,3.2,0,3,2,1
2,3,2,2,4,0,0,1,1,2,2,2,2,0,2,0,0,0,0,122,1,1,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,0,1,1,0,1,0,0,1,0,141,3,0,4.67,0,2,2,1
2,3,2,2,4,0,0,1,1,2,1,1,1,0,1,0,0,1,0,130,3,0,3.2,0,2,2,1
2,3,2,2,4,0,0,1,1,2,1,1,0,0,1,0,5,1,0,129,3,0,3.6,0,2,2,1
2,3,2,2,4,0,0,1,1,2,0,2,1,0,1,0,5,1,0,131,3,0,3.6,0,2,2,1
2,3,2,2,4,0,0,1,1,2,0,1,1,0,1,0,0,0,1,119,1,1,2.8,3,2,2,1
2,3,2,2,4,0,0,1,1,3,0,1,1,0,1,0,5,1,0,126,3,0,3.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,1,2,1,0,1,0,5,1,0,135,3,0,3.2,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,2,0,1,0,0,0,0,125,3,0,2.8,5,2,2,1
2,3,2,2,4,0,0,1,1,2,0,1,0,0,0,0,5,1,0,125,1,1,3.0,0,2,2,1
2,3,2,2,4,0,0,1,1,2,0,0,0,0,0,0,5,1,0,126,1,1,2.8,3,2,2,1
2,3,2,2,4,0,0,1,1,2,1,1,1,0,1,0,0,1,0,127,3,0,3.2,0,2,2,1
2,3,2,2,4,0,0,1,1,3,1,1,1,0,1,0,0,1,0,129,3,0,4.0,0,2,2,1
2,3,2,2,4,0,0,1,1,2,1,2,1,0,1,0,5,1,0,126,1,1,3.2,0,2,2,1
2,3,2,2,4,0,0,1,1,3,2,2,2,0,0,0,0,1,0,125,1,1,3.0,4,2,2,1
2,3,2,2,4,0,0,1,1,3,0,0,1,0,1,0,5,1,0,127,3,0,4.0,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,2,0,0,0,5,1,0,133,3,0,2.4,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,2,0,0,0,5,1,0,122,1,1,3.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,0,0,0,0,0,1,0,119,1,1,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,1,2,1,0,1,0,0,1,0,122,1,1,2.8,3,2,2,1
2,3,2,2,4,0,0,1,1,2,1,1,1,0,1,0,0,0,0,124,1,1,2.4,3,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,1,0,1,0,0,1,0,122,1,1,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,2,0,1,0,0,1,0,127,1,1,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,2,0,2,0,0,1,0,124,2,1,2.8,3,2,2,1
2,3,2,2,4,0,0,1,1,2,2,1,1,0,1,0,0,1,0,134,1,1,3.4,0,2,2,1
2,3,2,2,4,0,0,1,1,3,0,2,1,0,1,0,0,0,0,127,1,2,2.0,4,3,2,1
2,2,2,2,4,0,0,1,1,2,0,2,1,0,1,0,0,0,0,123,1,2,2.0,0,3,2,1
3,3,2,2,4,0,0,1,1,3,0,2,1,0,2,0,5,0,0,132,1,2,3.0,0,3,2,1
3,2,2,2,4,0,0,1,1,3,1,2,1,0,1,0,0,0,0,133,1,2,2.0,0,3,2,1
3,2,2,2,4,0,0,1,1,2,0,2,0,0,0,0,0,1,0,122,1,2,1.6,4,3,2,1
3,2,2,2,4,0,0,1,1,2,0,2,1,0,1,0,0,1,0,129,1,2,1.6,4,2,2,1
3,3,3,2,1,0,0,1,1,2,1,2,1,0,1,0,0,0,0,139,1,2,1.6,4,2,2,1
3,2,1,2,3,0,0,1,1,2,1,2,1,0,1,0,0,1,0,125,3,0,2.0,0,3,2,1
3,2,2,2,4,0,0,1,1,2,0,2,1,0,1,0,0,1,0,124,1,2,1.6,4,3,2,1
2,3,2,2,4,0,0,1,1,2,0,2,0,0,0,0,5,1,0,136,1,2,2.88,0,2,2,1
2,3,2,2,3,0,0,1,1,2,0,3,0,0,0,0,5,1,0,138,3,0,2.8,4,2,2,1
2,3,2,2,4,0,0,1,1,2,0,3,0,0,0,0,5,1,0,137,1,2,3.2,1,2,2,1
2,3,2,2,4,0,0,1,1,2,0,3,0,0,0,0,5,1,0,167,1,2,3.2,1,1,2,1
2,3,2,2,4,0,0,1,1,2,0,2,0,0,0,0,5,1,0,138,1,2,3.2,1,2,2,1
2,3,2,2,4,0,0,1,1,2,0,3,0,0,0,0,5,1,0,133,1,2,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,0,1,0,0,0,0,5,0,1,137,1,2,3.2,1,2,2,1
2,3,2,2,4,0,0,1,1,2,0,3,0,0,0,0,5,1,0,134,1,2,2.8,0,2,2,1
2,2,2,2,3,0,0,1,1,2,0,1,0,0,0,0,5,0,0,129,1,2,2.8,0,2,2,1
2,3,2,2,5,0,0,1,1,2,0,3,2,0,0,0,5,1,0,138,1,1,3.6,0,2,2,1
2,3,2,2,4,0,0,1,1,2,0,2,0,0,0,0,5,1,1,137,1,2,3.2,4,2,2,1
2,3,2,2,4,0,0,1,1,2,0,2,0,0,0,0,5,1,0,136,1,2,2.8,0,2,2,1
2,2,2,2,4,0,0,1,1,2,0,1,0,0,0,0,5,0,1,121,1,2,2.8,3,2,2,1
2,3,2,2,4,0,0,1,1,2,0,2,0,0,0,0,5,1,0,137,3,0,2.8,0,2,2,1
2,2,2,2,4,0,0,1,1,3,1,1,1,0,2,0,0,0,0,126,3,0,2.63,3,1,2,2
2,3,2,2,4,0,0,1,1,3,2,0,0,0,0,0,0,0,1,143,1,2,3.75,1,1,2,2
2,2,2,2,4,0,1,1,1,3,0,0,0,0,0,0,0,0,1,160,1,1,3.13,1,1,2,2
2,4,2,2,3,0,0,1,1,3,2,2,2,0,0,0,0,1,0,149,3,0,4.13,1,1,2,2
1,3,2,2,4,0,0,1,1,2,2,1,2,0,0,0,5,0,0,147,3,0,2.25,1,1,2,2
1,3,2,2,4,0,0,1,1,2,0,0,0,0,2,0,10,1,0,157,3,0,3.12,1,1,2,2
2,3,2,2,4,0,0,1,1,2,2,2,0,0,0,0,5,0,1,153,3,0,3.75,1,1,2,2
2,3,2,2,4,0,0,1,1,3,2,2,2,0,0,0,0,0,1,147,3,0,3.5,1,1,2,2
2,3,2,2,4,0,0,1,1,3,2,0,0,0,2,0,0,1,0,157,1,2,4.5,1,2,2,2
2,3,1,2,4,0,0,1,1,2,0,0,2,0,0,0,5,0,0,155,3,0,3.0,1,1,2,2
1,3,2,2,2,0,0,1,1,2,0,2,2,0,2,0,5,0,0,154,3,0,2.88,1,2,2,2
2,3,2,2,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,132,3,0,2.63,1,2,2,2
2,3,2,2,2,0,0,1,1,2,0,2,0,0,2,0,5,1,1,144,3,0,3.0,1,2,2,2
2,3,2,2,4,0,0,1,1,2,2,2,2,0,2,0,5,0,0,152,3,0,2.38,1,2,2,2
2,3,2,2,4,0,0,1,1,3,2,2,0,0,0,0,5,0,2,154,1,2,3.6,4,2,2,2
2,3,2,2,4,0,0,1,1,2,2,2,2,0,2,0,0,0,0,160,3,0,3.0,1,1,2,2
2,3,2,2,4,0,0,1,1,3,2,2,2,0,1,0,5,1,0,154,1,2,3.62,4,1,2,2
2,3,2,2,4,0,1,1,1,2,2,2,0,0,0,0,0,1,0,152,3,0,2.08,4,1,2,2
2,3,2,2,4,0,0,1,1,3,0,0,0,0,0,0,5,0,1,154,1,1,3.38,1,2,2,2
2,3,2,2,4,0,0,1,1,2,0,0,0,0,0,0,0,0,1,149,1,2,3.0,1,2,2,2
2,2,2,2,5,0,1,1,1,3,0,0,0,0,0,0,5,1,0,144,3,0,3.38,1,2,2,2
2,2,2,2,1,0,0,1,1,2,0,0,0,0,0,0,5,1,0,150,3,0,3.75,1,1,2,2
2,4,2,2,3,0,0,1,1,2,0,0,0,0,0,0,5,1,0,152,3,0,2.75,3,1,2,2
2,3,2,2,4,0,0,1,1,2,2,2,2,0,0,0,0,1,0,139,3,0,2.5,3,2,2,2
2,3,2,2,4,0,0,1,1,2,2,2,2,0,2,0,5,1,0,147,3,0,3.5,0,2,2,2
2,3,2,2,4,0,0,1,1,3,0,0,0,0,0,0,0,0,1,155,1,2,3.0,4,1,2,2
2,3,2,2,4,0,0,1,1,2,2,2,2,0,2,0,5,1,0,146,3,0,3.5,1,1,2,2
2,3,2,2,4,0,0,1,1,2,2,2,2,0,2,0,5,1,0,151,3,0,3.5,1,1,2,2
2,3,2,2,4,0,0,1,1,2,2,0,2,0,2,0,0,1,0,158,3,0,3.75,5,1,2,2
2,3,2,2,4,0,0,1,1,2,2,2,2,0,0,0,5,1,0,139,1,2,2.75,5,2,2,2
2,3,2,2,4,0,0,1,1,3,2,2,2,0,2,0,5,1,0,142,3,0,3.75,1,2,2,2
